Time (s),Inlet Water Temp (C),Outlet Water Temp (C),Inlet Air Temp (C),Outlet Air Temp (C)
255.59,36.8,37.1,71.23,71.67
256.16,36.8,36.8,71.26,71.77
256.73,36.9,37.8,71.33,71.67
257.27,36.2,37,71.36,71.77
257.85,36.6,36.9,71.26,71.67
258.41,36.1,36.9,71.23,71.57
258.96,36.2,36.7,71.26,71.5
259.53,36.8,35.9,71.29,71.43
260.09,36.6,37.3,71.29,71.43
260.64,22.8,37.3,71.33,71.36
261.21,36.8,37.1,71.29,71.29
261.78,37,37.1,71.26,71.19
262.33,36.7,37.2,71.19,71.12
262.9,36.4,37,71.19,71.12
263.47,36.9,37,71.19,71.12
264.01,36.6,37.1,71.16,71.12
264.58,37.3,37.2,69.27,71.09
265.13,36.3,36.9,71.16,70.95
265.69,36.5,37.1,71.16,71.02
266.26,37,37,71.16,70.95
266.83,36.2,36.9,71.16,70.95
267.38,36.5,37,71.16,70.85
267.94,36.5,37.3,71.19,70.82
268.51,36.8,37.3,71.19,70.79
269.07,36.9,37,71.19,70.79
269.62,36.8,37.3,71.16,70.75
270.19,36.7,36.9,71.19,70.75
270.75,36.9,36.9,71.19,70.72
271.31,36.9,37.1,71.19,70.75
271.87,36.7,37,71.19,70.75
272.44,36.9,37.2,71.23,70.72
272.99,36.7,36.9,71.19,70.75
273.55,36.8,37.2,71.19,70.79
274.12,37,37,71.23,70.79
274.67,37,37.4,71.19,70.79
275.24,36.8,36.8,71.16,70.79
275.8,36.6,37.1,71.16,70.75
276.36,36.9,37,71.16,70.75
276.93,37.2,37.1,71.19,70.72
277.49,36.7,36.9,71.19,70.68
278.04,37,36.9,71.19,70.68
278.61,36.3,37,71.23,70.65
279.17,37,36.7,71.23,70.68
279.72,36.8,37,71.23,70.68
280.29,37,36.9,71.26,70.68
280.85,37,36.7,71.29,70.75
281.4,37,37,71.29,70.75
281.97,36.8,37.1,71.33,70.79
282.53,37,37,71.4,70.82
283.1,37.2,36.9,71.4,70.85
283.65,36.9,37.1,71.36,70.82
284.21,36.8,37,71.43,70.82
284.78,37.1,36.8,71.36,70.85
285.33,37,36.7,71.33,70.89
285.89,37,37.2,71.29,70.82
286.46,36.9,36.8,71.26,70.89
287.03,37.1,37.3,71.26,70.85
287.57,37.2,37,71.26,70.85
288.14,37,36.9,71.26,70.79
288.71,37,36.9,71.26,70.82
289.26,37.3,37.1,71.26,70.85
289.83,36.6,36.8,71.26,70.82
290.38,37.1,37,71.29,70.85
290.94,36.3,37.3,71.29,70.85
291.5,36.7,36.9,71.33,70.85
292.07,37,37.4,71.4,70.85
292.64,37.2,37,71.4,70.89
293.19,37.2,37.1,71.33,70.89
293.75,36.9,37.1,71.4,70.89
294.32,36.8,36.9,71.43,70.89
294.87,37,36.5,71.43,70.82
295.43,37.1,36.9,71.43,70.85
296.0,37.2,37.2,71.4,70.85
296.55,37.4,36.5,71.43,70.89
297.11,37,36.9,71.43,70.89
297.68,37.3,37,71.46,70.85
298.23,37.2,36.9,71.57,70.85
298.79,37.4,37.1,71.6,70.79
299.36,36.8,36.9,71.67,70.82
299.91,37.1,37.1,71.74,70.85
300.48,37.2,37.3,71.8,70.85
301.05,36.8,36.8,71.77,70.89
301.6,37.1,36.8,71.77,70.89
302.16,37,37.2,71.77,70.89
302.73,37.2,36.9,71.77,70.89
303.28,37.3,36.9,71.84,70.85
303.84,36.8,36.9,71.8,70.85
304.41,37,37,71.77,70.82
304.98,37.2,37,71.77,70.82
305.52,37.1,37,71.77,70.79
306.09,36.9,36.9,71.77,70.79
306.66,37.3,37,71.7,70.75
307.21,37.4,37,71.63,70.75
307.77,37.1,37.3,71.6,70.75
308.35,37.2,37.1,71.63,70.75
308.89,36.8,36.9,71.6,70.75
309.45,37.3,37,71.57,70.72
310.01,37.3,37.2,71.57,70.75
310.58,36.8,36.7,71.63,70.72
311.14,37,37.2,71.67,70.75
311.69,36.8,37.2,71.67,70.79
312.26,37.3,37.2,71.7,70.82
312.82,37.3,37.1,71.67,70.82
313.39,36.8,37.1,71.63,70.82
313.94,37,36.6,71.7,70.75
314.51,37,36.9,71.67,70.79
315.06,37,36.7,71.63,70.82
315.63,37.4,36.7,71.6,70.82
316.19,37.7,36.5,71.53,70.79
316.74,37.5,36.8,71.46,70.82
317.31,36.7,37.6,71.43,70.79
317.87,37.2,36.8,71.36,70.75
318.43,37.2,37,71.33,70.72
319.0,37.2,37.1,71.36,70.72
319.56,37.2,37,71.29,70.72
320.11,36.7,37.2,71.29,70.75
320.68,36.4,37.2,71.29,70.72
321.25,37,37,71.29,70.75
321.79,37.1,37.6,71.29,70.79
322.37,37,37,71.29,70.79
322.91,37.3,37,71.29,70.75
323.48,36.8,37.6,71.29,70.75
324.05,36.7,36.6,71.26,70.75
324.61,37.1,36.8,71.26,70.79
325.16,37.2,36.9,71.23,70.82
325.73,37.1,36.9,71.19,70.75
326.29,36.7,37,71.23,70.75
326.84,37.3,37,71.23,70.72
327.41,37,37.1,71.23,70.68
327.98,37,36.8,71.19,70.75
328.52,36.9,36.5,71.16,70.75
329.1,37.5,37.1,71.16,70.82
329.66,36.9,36.9,71.16,70.82
330.22,37.1,36.7,71.12,70.75
330.78,37.3,37.1,71.16,70.62
331.34,37.1,36.9,71.12,70.65
331.91,37.4,36.8,71.09,70.58
332.46,37.2,37.3,71.09,70.55
333.02,37.2,36.8,71.06,70.55
333.59,37.6,36.9,71.09,70.55
334.14,36.9,36.9,71.06,70.62
334.7,37,37.3,71.06,70.62
335.27,37,37.4,71.09,70.68
335.82,37,37.1,71.09,70.75
336.39,36.7,36.9,71.06,70.82
336.94,37.7,37.2,71.12,70.85
337.51,36.8,37.2,71.09,70.89
338.06,37.2,37.2,71.09,70.82
338.63,37.4,36.8,71.12,70.82
339.2,37.5,37,71.09,70.82
339.75,37.4,37,71.06,70.82
340.32,37.3,37.3,71.09,70.82
340.86,37,37.2,71.06,70.82
341.44,37,37.2,71.02,70.82
342.0,36.8,36.7,71.02,70.82
342.55,37,36.8,71.02,70.82
343.12,37.2,36.4,70.99,70.79
343.68,37,36.9,70.95,70.75
344.23,37,36.9,70.99,70.65
344.8,37.1,37.2,70.95,70.72
345.37,36.9,37,70.95,70.75
345.91,37,37.2,70.95,70.79
346.48,36.8,37.1,70.95,70.82
347.05,37.4,37.3,70.95,71.02
347.59,37,37,70.95,71.16
348.16,36.8,36.8,70.95,71.23
348.73,37.2,37.1,70.99,71.33
349.3,37,36.9,70.92,71.23
349.85,37.4,37.3,70.99,71.09
350.42,37.5,37.3,70.95,70.99
350.96,37,37,70.95,70.92
351.53,37.1,37,70.89,70.85
352.1,37,36.9,70.92,70.79
352.64,37.4,37.2,70.92,70.79
353.21,37.4,37.1,70.92,70.68
353.78,37.1,37.3,70.95,70.62
354.35,36.9,36.7,70.92,70.62
354.89,37.1,37,70.95,70.58
355.46,37.8,37.1,70.95,70.55
356.01,37.1,36.8,70.95,70.51
356.58,37.6,37.2,70.99,70.58
357.14,37.1,36.9,70.92,70.51
357.69,37,37,70.95,70.55
358.26,37.2,37.4,70.95,70.55
358.82,37.2,36.9,70.99,70.58
359.39,37.6,36.8,70.95,70.58
