Time (s),Motor Temps
1060.55,58.3
1061.55,57.5
1062.56,57.1
1063.57,57.2
1064.55,55.9
1065.56,56.5
1066.57,56.9
1067.56,57.7
1068.56,57.9
1069.56,58.7
1070.56,57.3
1071.57,59
1072.56,58
1073.57,58.4
1074.58,58.4
1075.57,58.3
1076.58,57.2
1077.57,57.9
1078.58,58.3
1079.59,58.3
1080.58,58
1081.59,57.9
1082.6,57.7
1083.58,58.6
1084.6,57.1
1085.6,56.8
1086.59,58
1087.6,56.8
1088.59,58.4
1089.6,57.6
1090.59,56.8
1091.6,57.5
1092.61,58
1093.59,56.7
1094.6,57.3
1095.62,56.8
1096.6,57.7
1097.62,57.9
1098.62,57.3
1099.61,57.1
1100.62,58.3
1101.61,57.1
1102.62,57.3
1103.62,57.7
1104.62,58.3
1105.63,57.3
1106.6,56.9
1107.63,57.3
1108.62,58.4
1109.63,58
1110.64,57.9
1111.63,57.5
1112.64,56.7
1113.63,58.2
1114.64,58.7
1115.63,58.6
1116.64,57.3
1117.65,57.3
1118.64,57.7
1119.65,58.2
1120.64,58
1121.65,57.5
1122.64,58.6
1123.66,57.1
1124.64,57.7
1125.66,58.4
1126.65,57.7
1127.66,57.3
1128.65,56.9
1129.66,58.6
1130.65,57.6
1131.66,57.3
1132.65,58
1133.67,57.6
1134.68,58.4
1135.66,58.8
1136.67,57.6
1137.68,58.8
1138.67,58.8
1139.68,59.2
1140.68,59.2
1141.68,58.2
1142.65,58.4
1143.68,58.7
1144.68,57.5
1145.68,59.2
1146.69,59
1147.68,57.9
1148.69,57.6
1149.7,58.6
1150.69,58.8
1151.68,59
1152.7,58.3
1153.69,58
1154.7,58
1155.71,57.3
1156.71,58.7
1157.7,58.3
1158.71,57.7
1159.71,58.4
1160.7,58.2
1161.71,57.9
1162.72,59
1163.71,58.3
1164.72,58.3
1165.7,59.5
1166.72,59.2
1167.71,59.4
1168.72,58.4
1169.71,58.6
1170.72,59
1171.71,59.5
1172.72,57.6
1173.73,57.3
1174.74,59.2
1175.73,57.5
1176.73,57.6
1177.74,58.8
1178.73,57.7
1179.74,58.6
1180.74,57.6
1181.74,59
1182.74,58.8
1183.73,56.9
1184.74,58.8
1185.75,58
1186.74,57.9
1187.75,59.4
1188.75,59.4
1189.76,58.3
1190.74,58.3
1191.76,58.7
1192.77,58.3
1193.75,59
1194.77,57.1
1195.76,58.4
1196.77,59
1197.78,58.3
1198.77,59.8
1199.78,59.6
1200.74,57.3
1201.77,59.4
1202.77,59
1203.77,58.4
1204.79,58.3
1205.77,58.7
1206.78,58.6
1207.79,58.8
1208.78,58.3
1209.79,58.4
1210.78,58.6
1211.79,58.7
1212.79,58.4
1213.8,58.7
1214.79,58.7
1215.8,58
1216.79,58.2
1217.8,57.6
1218.81,58.2
1219.79,58.3
1220.8,57.9
1221.81,59.4
1222.82,58.4
1223.8,58.6
1224.81,59.6
1225.82,57.1
1226.81,57.9
1227.82,59
1228.81,58.3
1229.81,59.6
1230.82,60
1231.81,60.3
