Time (s),MC Inlet,MC Outlet,Motor Inlet,Motor Outlet
94621.19,23,24,35,39
94927.0,23,24,35,39
95233.32,23,24,35,39
95540.11,23,23,35,39
95847.39,23,23,34,39
96155.17,23,23,34,40
96463.45,23,24,34,40
96772.22,23,23,35,40
97081.48,23,23,35,40
97391.24,23,23,35,40
97701.49,23,23,35,40
98012.23,23,23,35,40
98323.47,23,23,35,40
98635.2,23,23,35,40
98947.42,23,23,35,40
99260.14,23,23,35,40
99573.35,23,23,35,40
99887.05,23,23,36,40
100201.26,23,23,35,40
100515.95,23,24,35,40
100831.14,23,24,35,40
101146.83,23,24,35,40
101463.01,23,24,35,40
101779.67,23,23,35,40
102096.84,23,24,35,40
102414.5,23,23,36,40
102732.65,23,24,36,40
103051.29,23,24,36,40
103370.43,23,23,36,41
103690.06,23,24,36,41
104010.18,23,24,36,41
104331.07,23,24,36,41
104652.46,23,24,36,41
104974.07,23,24,36,41
105296.17,23,24,36,41
105618.76,23,24,36,41
105941.84,23,23,36,41
106265.42,23,24,36,41
106589.49,23,23,36,41
106914.06,23,23,36,41
107239.13,23,24,36,41
107564.68,23,23,36,41
107890.73,23,23,36,41
108217.27,23,23,36,41
108544.31,23,23,36,41
108871.84,23,23,36,41
109199.87,23,23,36,41
109528.39,23,23,36,41
109857.4,23,23,36,41
110186.9,23,23,36,41
110516.9,23,24,36,41
110847.4,23,24,36,41
111178.39,23,24,36,41
111509.88,23,24,36,41
111841.85,23,24,36,41
112174.32,23,24,36,41
112507.28,23,24,36,41
112840.74,23,24,36,41
113174.69,23,24,36,41
113509.14,23,24,36,42
113844.08,23,24,36,41
114179.52,23,24,36,41
114515.45,23,23,36,42
114851.87,23,24,37,42
115188.79,23,24,37,42
115526.2,23,24,38,42
115864.1,23,24,37,42
116202.5,23,24,37,42
116541.39,23,24,37,42
116880.78,23,24,37,42
117220.66,23,24,37,42
117561.03,24,24,37,42
117901.89,23,24,37,42
118243.24,24,24,37,42
118585.09,24,24,37,42
118927.43,24,24,37,42
119270.27,24,24,37,42
119613.6,24,24,37,42
119957.43,23,24,37,42
120301.75,23,24,37,42
120646.56,24,24,36,42
120991.87,23,24,36,42
121337.67,24,24,36,42
121683.97,23,24,36,42
122030.76,23,24,36,42
122378.05,23,24,36,42
122725.83,23,24,36,42
123074.11,24,24,37,42
123422.88,23,24,36,43
123772.14,24,24,37,43
124121.9,23,24,37,43
124472.15,23,24,37,43
124822.89,23,24,37,43
125174.13,23,24,37,43
125525.86,24,24,37,43
125878.09,23,24,37,43
126230.81,23,24,37,43
126584.03,23,24,37,43
126937.74,23,24,37,43
127291.94,23,24,38,43
127646.63,23,24,37,43
128001.82,23,24,37,43
128357.5,24,24,37,43
128713.67,24,24,38,43
129070.34,23,24,37,43
129427.5,24,24,37,43
129785.16,24,24,37,43
130143.31,24,24,37,43
130501.96,24,24,38,43
130861.1,23,24,38,43
131220.73,24,24,38,43
131580.86,24,24,38,43
131941.48,23,24,38,43
132302.6,24,24,38,43
132664.21,24,24,38,43
133026.31,24,24,38,43
133388.9,24,24,38,43
133751.99,24,24,38,43
134115.57,24,24,38,43
134479.66,24,24,38,43
134844.23,24,24,37,43
135209.3,24,24,37,43
135574.86,24,24,37,43
135940.92,24,24,37,43
136307.47,24,24,37,43
136674.51,23,24,37,43
137042.04,23,24,37,43
137410.07,24,24,37,43
137778.6,23,24,37,44
138147.63,24,24,37,44
138517.14,24,24,37,44
138887.14,24,24,38,44
139257.65,24,24,38,44
139628.64,24,24,38,44
140000.13,24,24,38,44
140372.11,24,24,38,44
140744.59,24,24,38,44
141117.56,24,24,38,44
141491.02,24,24,38,44
141864.97,25,24,38,44
142239.42,24,24,39,44
142614.36,23,24,39,44
142989.79,24,24,39,44
143365.72,24,24,39,44
143742.14,24,24,39,44
144119.06,24,24,40,44
144496.47,24,24,39,44
144874.37,24,24,39,44
145252.77,23,24,39,44
145631.66,24,24,39,44
146011.05,24,24,39,44
146390.93,24,24,39,44
146771.31,24,24,39,44
147152.18,24,24,39,44
147533.54,24,24,39,45
147915.39,24,24,39,45
148297.74,24,24,39,45
148680.59,24,24,39,45
149063.93,24,24,39,45
149447.76,24,24,39,45
149832.09,24,24,39,45
150216.91,24,24,39,45
150602.22,24,24,38,45
150988.03,24,24,39,45
151374.33,24,24,39,45
151761.13,24,24,39,45
152148.42,24,24,39,45
152536.2,24,24,39,45
152924.48,24,24,39,45
153313.25,24,24,39,45
153702.51,24,24,39,45
154092.29,24,24,39,45
154482.55,24,24,39,45
154873.31,24,24,39,45
155264.56,24,24,39,45
155656.29,24,24,39,45
156048.52,24,24,39,45
156441.24,24,24,40,45
156834.46,24,24,40,45
157228.17,24,24,40,45
157622.37,24,24,40,45
158017.06,24,24,40,45
158412.25,24,24,40,45
158807.93,24,24,40,45
159204.11,24,24,40,45
159600.78,23,24,40,45
159997.95,24,24,40,45
160395.61,24,24,40,46
160793.76,26,24,40,46
161192.41,24,24,40,46
161591.55,24,24,40,46
161991.18,24,24,40,46
162391.31,24,24,40,46
162791.93,24,24,40,46
163193.05,24,24,40,46
163594.66,24,24,40,46
163996.77,24,24,40,46
164399.37,24,24,40,46
164802.46,24,24,40,46
165206.04,24,24,40,46
165610.12,24,24,40,46
166014.7,24,24,40,46
166419.77,24,24,40,46
166825.33,24,24,40,46
167231.38,24,24,39,46
167637.93,24,24,40,46
168044.98,24,24,40,46
168452.52,24,24,40,46
168860.55,24,24,40,46
169269.08,24,24,40,46
169678.1,24,24,40,46
170087.61,24,24,40,46
170497.62,24,23,40,46
170908.14,24,24,40,46
171319.15,24,24,40,46
171730.64,24,24,40,46
172142.63,24,24,40,46
172555.11,24,24,40,46
172968.09,24,24,40,46
173381.57,24,24,40,46
173795.53,24,24,41,47
174209.99,24,24,41,47
174624.94,24,24,41,47
175040.4,24,24,41,47
175456.34,24,24,41,47
175872.77,24,24,41,47
176289.69,24,24,41,47
176707.11,23,24,41,47
177125.02,24,24,41,47
177543.43,24,24,41,47
177962.34,24,24,41,47
178381.73,24,24,41,47
178801.62,24,24,41,47
179222.0,24,24,41,47
179642.87,24,24,41,47
180064.24,24,24,41,47
180486.1,24,24,41,47
180908.46,24,24,41,47
181331.31,24,24,41,47
181754.65,24,24,41,47
182178.49,24,24,41,47
182602.83,24,24,41,47
183027.66,24,24,41,47
183452.98,24,24,41,47
183878.8,24,24,41,47
184305.11,24,24,41,47
184731.91,24,24,41,47
185159.21,24,24,41,47
185587.0,24,24,41,47
186015.29,24,24,41,47
186444.07,24,24,41,47
186873.34,24,24,41,47
187303.11,24,24,41,47
