Time (s),MC Inlet,MC Outlet,Motor Inlet,Motor Outlet
427.79,24,24,41,47
428.29,24,24,41,47
428.78,24,24,41,47
429.27,24,24,41,47
429.77,24,24,41,47
430.26,24,24,41,47
430.76,24,24,42,47
431.25,24,24,42,47
431.74,24,24,42,47
432.24,24,24,42,47
432.73,23,24,42,47
433.22,24,24,42,47
433.72,24,24,42,47
434.22,24,24,42,47
434.7,23,24,43,48
435.2,24,24,42,48
435.7,24,24,42,48
436.19,24,24,42,48
436.68,24,24,42,48
437.17,24,24,42,48
437.67,24,24,42,48
438.18,24,24,42,48
438.66,24,24,42,48
439.15,24,24,42,48
439.66,24,24,42,48
440.14,24,24,42,48
440.63,24,24,42,48
441.13,24,24,42,48
441.62,24,24,43,48
442.12,24,24,43,48
443.1,24,24,43,48
443.14,24,24,43,48
443.61,24,24,43,48
444.1,24,24,43,48
444.59,24,24,42,48
445.1,24,21,42,48
445.57,23,24,42,48
446.07,24,24,42,48
446.57,24,24,42,48
447.06,24,24,42,48
447.55,24,24,42,48
448.04,24,24,42,48
448.54,24,24,42,48
449.03,24,24,42,48
449.53,24,24,42,48
450.02,23,24,42,48
450.51,24,24,42,49
451.01,24,24,42,49
451.51,24,24,43,49
452.01,24,24,42,49
452.49,24,24,43,49
452.98,23,24,43,49
453.48,24,24,43,49
453.97,24,24,43,49
454.47,24,24,43,49
454.96,24,24,43,49
455.46,24,24,43,49
455.95,24,24,43,49
456.44,24,24,43,49
456.94,24,24,43,49
457.44,24,24,43,49
457.93,23,24,43,49
458.43,23,24,43,49
458.92,24,24,43,49
459.41,24,24,43,49
459.9,24,24,43,49
460.4,24,24,43,49
460.89,24,24,43,49
461.38,24,24,43,49
461.88,24,24,43,49
462.37,24,24,43,49
462.86,24,24,43,49
463.35,24,24,43,49
463.85,24,24,43,49
464.35,24,24,44,49
464.84,24,24,43,49
465.34,24,24,43,49
465.83,24,24,43,49
466.32,24,24,43,49
466.81,24,24,43,49
467.31,24,24,42,49
467.8,24,24,42,49
468.3,24,24,42,49
468.8,24,24,42,49
469.28,24,24,42,49
469.77,24,24,42,49
470.27,24,24,42,49
470.76,24,24,42,49
471.26,24,24,42,49
471.75,24,24,42,49
472.25,24,24,42,49
472.74,24,24,42,50
473.23,24,24,42,50
473.73,24,24,43,50
474.22,24,24,43,50
474.72,24,24,42,50
475.21,24,24,43,50
475.7,24,24,43,50
476.2,24,24,43,50
476.69,24,24,43,50
477.19,24,24,43,50
477.68,24,24,43,50
478.18,24,24,43,50
478.67,24,24,43,50
479.17,24,24,43,50
479.65,24,24,43,50
480.15,24,24,43,50
480.64,24,24,43,50
481.13,24,24,44,50
481.63,24,24,44,50
482.13,24,24,44,50
482.62,24,24,44,50
483.11,24,24,44,50
483.61,24,24,44,50
484.11,24,24,44,50
484.6,24,24,44,50
485.09,24,24,44,50
485.58,24,24,44,50
486.07,24,24,44,50
486.57,24,24,44,50
487.06,24,24,44,50
487.56,24,24,44,50
488.05,24,24,44,50
488.55,24,24,44,50
489.05,24,24,44,50
489.55,24,24,44,50
490.04,24,24,44,50
490.52,24,24,44,50
491.02,24,24,44,50
491.51,24,24,44,50
492.01,24,24,44,50
492.49,24,24,44,50
492.99,24,24,44,50
493.48,24,24,44,50
493.98,24,24,44,50
494.47,24,24,44,50
494.97,24,24,44,50
495.46,24,24,44,50
495.97,23,24,44,50
496.45,24,24,44,50
496.94,24,24,44,50
497.44,24,24,45,50
497.93,24,24,45,50
498.42,24,24,45,50
498.92,24,24,45,50
499.41,24,24,45,50
499.91,24,24,45,50
500.41,24,24,45,50
500.89,24,24,45,50
501.39,24,24,45,50
501.88,24,24,45,50
502.38,24,24,45,50
502.88,24,24,45,50
503.36,24,23,45,50
503.86,24,24,45,50
504.36,24,24,45,50
504.85,24,24,45,50
505.34,24,24,45,50
505.84,24,24,45,50
506.33,24,24,45,50
506.82,24,24,47,50
507.31,24,24,45,50
507.81,24,24,45,51
508.31,24,24,44,51
508.8,24,24,44,51
509.3,24,24,44,51
509.79,24,24,44,50
510.3,24,24,44,51
510.78,24,24,44,51
511.27,24,24,44,51
511.76,24,24,44,51
512.26,24,24,44,51
512.75,24,24,44,51
513.25,24,24,45,51
513.74,24,24,45,51
514.23,24,24,45,51
514.73,24,24,45,51
515.22,24,24,45,51
515.72,24,24,45,51
516.21,24,24,45,51
516.71,23,24,45,51
517.2,24,24,45,51
517.69,24,24,45,51
518.2,24,24,45,51
518.68,24,24,45,51
519.18,24,24,45,51
519.67,24,24,45,51
520.16,24,23,45,51
520.65,24,24,45,51
521.15,24,24,45,51
521.65,24,24,45,51
522.14,24,24,46,51
522.63,24,24,46,51
523.13,24,24,46,51
523.62,24,24,46,51
524.11,24,24,46,51
524.61,24,24,46,51
525.1,24,24,46,51
525.6,24,24,46,51
526.09,24,24,46,51
526.58,24,24,46,51
527.08,24,24,46,51
527.57,24,24,46,51
528.07,24,24,46,52
528.56,24,24,45,52
529.06,24,24,45,52
529.55,24,24,45,52
530.05,24,24,45,52
530.53,24,24,45,52
531.05,24,24,45,52
531.53,24,24,45,52
532.02,24,24,46,52
532.51,24,24,46,52
533.01,24,24,46,52
533.51,24,24,44,52
534.0,24,24,46,52
534.49,24,24,46,52
534.99,24,24,46,52
535.48,24,24,46,52
535.97,24,24,47,52
536.47,24,24,47,52
536.98,24,24,46,52
537.46,24,24,47,52
537.95,24,24,47,52
538.45,24,24,47,52
538.94,24,24,47,52
539.44,24,24,47,52
539.93,24,24,47,52
540.42,24,24,47,52
540.91,24,24,47,52
541.41,24,24,47,52
541.9,24,24,47,52
542.4,24,24,47,52
542.89,24,24,47,52
543.39,24,24,47,52
543.89,24,24,47,52
544.37,24,24,47,52
544.87,24,24,47,52
545.36,24,24,47,52
545.86,24,24,47,52
546.35,24,24,47,52
546.85,24,24,47,52
547.34,24,24,47,52
547.84,24,24,47,52
548.33,24,24,47,52
548.82,24,24,47,52
549.32,24,24,46,52
549.81,24,24,46,52
550.31,24,24,46,52
550.8,24,24,47,52
551.3,24,24,47,52
551.79,24,24,47,53
552.28,24,24,47,53
552.77,24,24,47,53
553.28,24,24,47,53
553.76,24,24,47,53
554.25,24,24,47,53
554.75,24,24,47,53
555.25,24,24,48,53
555.74,24,24,48,53
556.24,24,24,48,53
556.73,24,24,48,53
557.22,24,24,48,53
557.72,24,24,48,53
558.21,24,24,48,53
558.71,24,24,48,53
559.2,24,24,48,53
559.69,24,24,48,53
560.19,24,24,48,53
560.68,25,24,48,53
561.17,24,24,48,53
561.67,24,24,48,53
562.17,24,24,48,53
562.65,24,24,48,53
563.15,24,24,48,53
563.64,24,24,48,53
564.21,24,24,48,53
565.16,24,25,48,53
565.2,24,24,48,53
565.62,24,24,48,53
566.11,24,24,48,53
566.61,24,24,48,53
567.1,24,24,48,53
567.6,24,24,48,53
568.09,24,24,46,53
568.59,24,24,47,53
569.08,24,24,47,53
569.57,24,24,47,53
570.07,24,24,47,53
570.56,24,24,47,53
