Time (s),Motor Temps
1038.64,43.7
1039.65,43.9
1040.65,43.6
1041.65,43.6
1042.65,43.6
1043.66,43.5
1044.62,43.6
1045.66,43.3
1046.67,43.5
1047.66,43.3
1048.66,43.3
1049.66,43.2
1050.67,43.5
1051.66,43.2
1052.66,43.2
1053.67,43.1
1054.68,43.3
1055.67,43.5
1056.68,43.2
1057.68,43.3
1058.67,43.6
1059.68,43.2
1060.68,43.2
1061.68,43.1
1062.69,42.9
1063.69,43.1
1064.69,42.9
1065.69,42.9
1066.68,42.8
1067.7,43.1
1068.7,42.5
1069.69,42.9
1070.69,42.5
1071.69,42.7
1072.7,42.5
1073.7,42.7
1074.7,42.4
1075.7,42.0
1076.71,42.7
1077.71,42.5
1078.71,42.8
1079.71,42.4
1080.72,42.9
1081.71,42.1
1082.71,42.4
1083.71,42.5
1084.72,42.5
1085.7,42.4
1086.72,42.8
1087.72,42.4
1088.72,42.3
1089.72,42.1
1090.73,42.3
1091.73,42.1
1092.72,42.4
1093.74,42.1
1094.74,42.3
1095.73,41.9
1096.73,42.3
1097.73,42.0
1098.74,42.0
1099.73,42.1
1100.73,41.9
1101.75,41.9
1102.74,42.0
1103.75,42.1
1104.75,42.0
1105.75,42.0
1106.74,42.1
1107.75,42.3
1108.75,41.9
1109.76,42.0
1110.75,41.8
1111.75,41.8
1112.75,42.0
1113.77,41.9
1114.77,41.9
1115.76,41.8
1116.77,41.6
1117.77,41.9
1118.77,41.6
1119.71,41.8
1180.7,41.6
1181.71,41.8
1182.71,41.6
1183.71,41.4
1184.72,41.6
1185.72,41.4
1186.72,41.8
1187.72,41.8
1188.71,41.8
1189.7,41.1
1189.7,41.8
1189.7,41.6
1189.7,42.0
1189.7,41.8
1189.7,41.8
1189.7,41.5
1189.7,41.5
1189.7,41.4
1189.7,41.6
1189.7,41.5
1189.7,41.6
1245.64,41.1
1246.64,41.5
1247.64,41.2
1248.65,41.5
1249.64,41.5
1250.65,41.2
1251.65,41.2
1252.65,41.2
1252.68,41.1
1252.68,41.5
1252.68,41.6
1252.68,41.6
1252.68,41.4
1252.68,42.4
1252.68,41.6
1252.68,41.4
1252.68,41.5
1252.68,41.4
1252.68,41.4
1252.68,41.4
1252.68,41.5
1252.68,41.4
1252.68,41.2
1252.68,41.1
1252.68,41.4
1252.68,41.4
1252.68,41.1
1252.68,41.0
1252.68,41.6
1252.68,41.1
1252.68,41.4
1252.68,40.8
1252.68,41.1
1252.68,41.6
1252.68,41.4
1252.68,41.6
1252.68,41.2
1252.68,41.5
1252.68,41.2
1252.68,41.4
1252.68,41.6
1252.68,41.4
1252.68,41.2
1252.68,41.4
1252.68,41.1
1252.68,41.4
1252.68,41.6
1252.68,41.4
1252.68,41.1
1252.68,41.2
1252.68,41.1
1252.68,41.1
1252.68,41.1
1252.68,40.8
1252.68,41.1
1252.68,41.1
1252.68,41.5
1252.68,41.2
1252.68,41.4
1252.68,40.7
1252.68,41.4
1252.68,41.2
1252.68,41.2
1252.68,41.2
1252.68,41.4
1252.68,41.5
1252.68,41.4
1252.68,41.4
1252.68,41.4
1252.68,41.5
1252.68,41.2
1252.68,41.1
1252.68,41.1
1252.68,41.1
1252.68,41.4
1252.68,41.2
1252.68,41.4
1252.68,41.1
1252.68,41.1
1252.68,41.1
1252.68,41.0
1252.68,41.4
1252.68,40.7
1252.68,41.2
1252.68,41.4
1252.68,41.5
1252.68,41.4
1252.68,41.5
1252.68,41.1
1252.68,41.4
1252.68,41.2
1252.68,41.2
1252.68,41.2
1252.68,41.4
1252.68,41.0
1252.68,41.2
1252.68,41.1
1252.68,41.1
1252.68,41.1
1252.68,40.7
1252.68,41.2
1252.68,41.2
1252.68,41.0
1252.68,41.0
1252.68,41.5
1252.68,41.5
1252.68,41.6
1252.68,41.1
1252.68,41.4
1252.68,41.2
1252.68,41.4
1252.68,41.2
1252.68,41.5
1252.68,41.2
1252.68,40.7
1252.68,41.2
1252.68,41.2
1252.68,41.2
1252.68,41.4
1252.68,41.0
1252.68,41.4
1252.68,41.0
1252.68,41.0
1252.68,41.0
1252.68,40.8
1252.68,41.2
1252.68,41.2
1252.68,41.2
1252.68,40.6
1252.68,41.4
1252.68,41.2
1252.68,41.4
1252.68,41.2
1252.68,41.4
1252.68,41.2
1252.68,41.2
1252.68,41.4
1252.68,41.1
1252.68,41.2
1252.68,41.2
1252.68,41.2
1252.68,41.2
1252.68,41.1
1252.68,41.2
1252.68,41.1
1252.68,41.0
1252.68,41.1
1252.68,40.7
1252.68,41.0
1252.68,41.0
1252.68,41.0
1252.68,41.1
1252.68,41.4
1252.68,41.2
1252.68,41.4
1252.68,41.1
1252.68,41.4
1252.68,41.2
1252.68,41.4
1252.68,41.4
1252.68,41.2
1252.68,41.2
1252.68,41.2
1252.68,41.4
1252.68,41.2
1252.68,41.1
