Time (s),N*m
30254061.64,0.0
30254450.37,0.0
30254839.14,0.0
30255228.04,0.0
30255617.05,0.0
30256006.15,0.0
30256395.3,0.0
30256784.56,0.0
30257173.89,0.0
30257563.28,0.0
30257952.72,0.0
30258342.21,0.0
30258731.74,0.0
30259121.32,0.0
30259511.01,0.0
30259900.74,0.0
30260290.57,0.0
30260680.45,0.0
30261070.41,0.0
30261460.41,0.0
30261850.47,0.0
30262240.58,0.0
30262630.75,0.0
30263020.97,0.0
30263411.23,0.0
30263801.57,0.0
30264191.95,0.0
30264582.4,0.0
30264972.93,0.0
30265363.55,0.0
30265754.2,0.0
30266144.94,0.0
30266535.74,0.0
30266926.59,0.0
30267317.6,0.0
30267708.69,0.0
30268099.83,0.0
30268491.02,0.0
30268882.27,0.0
30269273.59,0.0
30269664.96,0.0
30270056.39,0.0
30270447.88,0.0
30270839.41,0.0
30271230.99,0.0
30271622.63,0.0
30272014.32,0.0
30272406.13,0.0
30272797.98,0.0
30273189.89,0.0
30273581.88,0.0
30273973.91,0.0
30274366.02,0.0
30274758.17,0.0
30275150.44,0.0
30275542.77,0.0
30275935.17,0.0
30276327.61,0.0
30276720.1,0.0
30277112.64,0.0
30277505.21,0.0
30277897.88,0.0
30278290.65,0.0
30278683.48,0.0
30279076.37,0.0
30279469.32,0.0
30279862.34,0.0
30280255.47,0.0
30280648.65,0.0
30281041.89,0.0
30281435.17,0.0
30281828.51,0.0
30282221.9,0.0
30282615.34,0.0
30283008.87,0.0
30283402.5,0.0
30283796.21,0.0
30284189.98,0.0
30284583.81,0.0
30284977.67,0.0
30285371.62,0.0
30285765.61,0.0
30286159.69,0.0
30286553.83,0.0
30286948.01,0.0
30287342.31,0.0
30287736.68,0.0
30288131.1,0.0
30288525.57,0.0
30288920.09,0.0
30289314.68,0.0
30289709.31,0.0
30290103.99,0.0
30290498.77,0.0
30290893.59,0.0
30291288.51,0.0
30291683.49,0.0
30292078.53,0.0
30292473.61,0.0
30292868.75,0.0
30293264.01,0.0
30293659.33,0.0
30294054.69,0.0
30294450.1,0.0
30294845.56,0.0
30295241.07,0.0
30295636.68,0.0
30296032.35,0.0
30296428.09,0.0
30296823.87,0.0
30297219.71,0.0
30297615.59,0.0
30298011.52,0.0
30298407.48,0.0
30298803.53,0.0
30299199.62,0.0
30299203.05,0.0
30299206.6,0.0
30299210.2,0.0
30299213.86,0.0
30299217.55,0.0
30299221.27,0.0
30299225.09,0.0
30299228.96,0.0
30299232.9,0.0
30299236.91,0.0
30299240.98,0.0
30299245.12,0.0
30299249.33,0.0
30299253.62,0.0
30299257.96,0.0
30299262.37,0.0
30299266.81,0.0
30299271.32,0.0
30299275.94,0.0
30299280.6,0.0
30299285.31,0.0
30299290.07,0.0
30299294.87,0.0
30299299.72,0.0
30299304.63,0.0
30299309.65,0.0
30299314.72,0.0
30299319.84,0.0
30299325.0,0.0
30299330.27,0.0
30299335.6,0.0
30299341.0,0.0
30299346.52,0.0
30299352.11,0.0
30299357.75,0.0
30299363.44,0.0
30299369.18,0.0
30299374.97,0.0
30299380.85,0.0
30299386.79,0.0
30299392.79,0.0
30299398.85,0.0
30299404.96,0.0
30299411.13,0.0
30299417.34,0.0
30299423.63,0.0
30299429.97,0.0
30299436.35,0.0
30299442.82,0.0
30299449.35,0.0
30299455.94,0.0
30299462.57,0.0
30299469.26,0.0
30299476.02,0.0
30299482.81,0.0
30299489.67,0.0
30299496.57,0.0
30299503.55,0.0
30299510.57,0.0
30299517.65,0.0
30299524.83,0.0
30299532.06,0.0
30299539.35,0.0
30299546.7,0.0
30299554.08,0.0
30299561.52,0.0
30299569.0,0.0
30299576.56,0.0
30299584.18,0.0
30299591.85,0.0
30299599.57,0.0
30299607.33,0.0
30299615.19,0.0
30299623.08,0.0
30299631.12,0.0
30299639.24,0.0
30299647.42,0.0
30299655.62,0.0
30299663.87,0.0
30299672.19,0.0
30299680.66,0.0
30299689.19,0.0
30299697.78,0.0
30299706.42,0.0
30299715.11,0.0
30299723.83,0.0
30299732.63,0.0
30299741.48,0.0
30299750.4,0.0
30299759.37,0.0
30299768.4,0.0
30299777.53,0.0
30299786.7,0.0
30299795.99,0.0
30299805.33,0.0
30299814.7,0.0
30299824.15,0.0
30299833.66,0.0
30299843.22,0.0
30299852.85,0.0
30299862.55,0.0
30299872.33,0.0
30299882.15,0.0
30299892.02,0.0
30299901.96,0.0
30299911.95,0.0
30299921.97,0.0
30299932.08,0.0
30299942.24,0.0
30299952.46,0.0
30299962.72,0.0
30299973.06,0.0
30299983.47,0.0
30299993.93,0.0
30300004.49,0.0
30300015.09,0.0
30300025.79,0.0
30300036.51,0.0
30300047.28,0.0
30300058.1,0.0
30300069.07,0.0
30300080.11,0.0
30300091.21,0.0
30300102.35,0.0
30300113.57,0.0
30300124.84,0.0
