Time (s),Volts
157761.33,-159.5
157791.64,-159.5
157822.57,-159.5
157854.1,-159.5
157886.17,-159.5
157918.86,-159.5
157952.11,-159.5
157985.95,-159.5
158020.42,-159.5
158055.47,-159.5
158091.12,-159.5
158127.37,-159.5
158164.17,-159.5
158201.54,-159.5
158239.56,-159.5
158278.2,-159.51
158317.97,-159.5
158358.35,-159.5
158399.29,-159.51
158440.84,-159.5
158482.98,-159.5
158525.74,-159.5
158569.07,-159.51
158612.95,-159.5
158657.4,-159.5
158702.44,-159.5
158748.13,-159.51
158794.4,-159.5
158841.27,-159.5
158888.75,-159.5
158937.98,-159.5
158987.78,-159.5
159038.13,-159.51
159089.09,-159.5
159140.65,-159.5
159192.83,-159.5
159245.61,-159.51
159298.94,-159.5
159352.85,-159.54
159407.4,-159.55
159462.55,-159.54
159518.32,-159.53
159574.62,-159.52
159631.5,-159.52
159688.94,-159.52
159746.96,-159.52
159805.57,-159.51
159864.82,-159.51
159924.67,-159.52
159985.1,-159.51
160046.13,-159.51
160107.8,-159.51
160170.01,-159.52
160232.85,-159.63
160296.26,-159.63
160360.31,-159.63
160424.94,-159.64
160490.15,-159.67
160555.95,-159.75
160622.39,-159.81
160689.49,-159.73
160757.21,-159.67
160825.52,-159.67
160894.51,-159.68
160964.05,-159.67
161034.15,-159.92
161104.85,-159.74
161176.12,-159.69
161248.02,-159.7
161320.51,-159.71
161393.57,-159.73
161467.25,-160.11
161541.59,-160.34
161616.53,-160.62
161692.06,-160.96
161768.19,-161.26
161844.89,-161.93
161922.21,-162.27
162000.15,-162.9
162078.74,-163.02
162158.0,-163.5
162237.82,-163.9
162318.26,-164.17
162399.34,-164.98
162481.05,-165.04
162563.41,-165.08
162646.39,-165.44
162730.03,-166.98
162814.22,-166.11
162898.99,-166.9
162984.37,-166.87
163070.37,-165.44
163157.01,-167.84
163244.2,-167.8
163331.97,-164.64
163420.38,-162.02
163509.34,-163.73
163598.92,-165.5
163689.06,-165.51
163779.81,-165.69
163871.18,-165.9
163963.12,-165.22
164055.66,-165.82
164148.78,-163.38
164242.48,-163.86
164336.78,-164.86
164431.66,-165.26
164527.19,-165.15
164623.29,-165.51
164720.04,-166.26
164817.43,-170.76
164915.48,-171.39
165014.13,-172.74
165113.4,-173.16
165213.27,-174.52
165313.8,-175.03
165414.89,-176.3
165516.61,-162.72
165618.9,-163.54
165721.77,-166.3
165825.3,-167.54
165929.41,-171.52
166034.14,-172.49
166139.5,-172.68
166245.44,-171.84
166351.95,-168.42
166459.08,-167.24
166566.86,-168.44
166675.21,-168.92
166784.16,-167.6
166893.67,-167.21
167003.76,-162.82
167114.38,-167.03
167225.62,-166.56
167337.43,-162.74
167449.86,-162.92
167562.89,-162.71
167676.48,-162.63
167790.65,-162.56
167905.45,-164.04
168020.85,-163.86
168136.84,-165.37
168253.44,-167.45
168370.65,-167.56
168488.5,-169.01
168607.01,-171.09
168726.13,-172.72
168845.92,-173.48
168966.33,-176.35
169087.38,-178.5
169209.02,-180.87
169331.26,-181.38
169454.11,-170.66
169577.61,-164.36
169701.68,-164.01
169826.37,-163.75
169951.64,-163.54
170077.5,-163.35
170203.98,-163.19
170331.07,-163.06
170458.8,-162.95
170587.07,-162.83
170715.95,-162.73
