Time (s),Temperature (Degrees C)
66589.98,16
66759.47,16
66929.54,16
67100.19,16
67271.6,16
67443.51,16
67615.96,16
67788.96,16
67962.55,16
68136.72,16
68311.51,16
68486.91,16
68662.88,16
68839.44,16
69016.6,16
69194.39,16
69372.9,16
69551.89,16
69731.41,16
69911.5,16
70092.18,16
70273.44,16
70455.31,16
70637.77,16
70820.8,16
71004.45,16
71188.71,16
71373.54,16
71559.16,16
71745.27,16
71931.91,16
72119.09,16
72306.86,16
72495.21,16
72684.17,16
72873.72,16
73063.85,16
73254.63,16
73445.98,16
73637.9,16
73830.59,16
74023.79,16
74217.51,16
74411.77,16
74606.64,16
74802.09,16
74998.15,16
75194.79,16
75392.0,16
75589.81,16
75788.26,16
75987.26,16
76187.04,16
76387.31,16
76588.13,16
76789.52,16
76991.48,16
77194.03,16
77397.17,16
77600.97,16
77805.27,16
78010.15,16
78215.64,16
78421.71,16
78628.36,16
78835.73,16
79043.64,16
79252.07,16
79461.1,16
79670.73,16
79880.96,16
80091.8,16
80303.21,16
80515.18,16
80727.77,16
80940.95,16
81154.7,16
81369.15,16
81584.15,16
81799.68,16
82015.8,16
82232.57,16
82449.89,16
82667.78,16
82886.27,16
83105.32,16
83324.98,16
83545.25,16
83766.09,16
83987.69,16
84209.8,16
84432.41,16
84655.63,16
84879.41,16
85103.81,16
85328.79,16
85554.35,16
85780.48,16
86007.23,16
86234.59,16
86462.54,16
86691.2,16
86920.47,16
87150.24,16
87380.54,16
87611.42,16
87842.92,16
88074.97,16
88307.62,16
88540.85,16
88774.69,16
89009.14,16
89244.14,16
89479.9,16
89716.2,16
89953.02,16
90190.39,16
90428.36,16
90666.93,16
90906.07,16
91145.82,16
91386.14,16
91627.08,16
91868.6,16
92110.7,16
92354.12,16
92598.03,16
92842.49,16
93087.56,16
93333.22,16
93579.45,16
93826.3,16
94073.7,16
94321.71,16
94570.32,16
94819.49,16
95069.44,16
95319.9,16
95570.87,16
95822.41,16
96074.54,16
96327.3,16
96580.61,16
96834.54,16
97089.06,16
97344.16,16
97599.94,16
97856.22,16
98113.31,16
98370.9,16
98629.0,16
98887.64,16
99146.88,16
99406.73,16
99667.17,16
99928.19,16
100189.77,16
100451.96,16
100714.76,16
100978.14,16
101242.08,16
101506.73,16
101771.89,16
102037.6,16
102303.92,16
102570.86,16
102838.37,16
103106.46,16
103375.18,16
103644.46,16
103914.34,16
104184.8,16
104455.83,16
104727.61,16
104999.9,16
105272.7,16
105546.1,16
105820.11,16
106094.68,16
106369.88,16
106645.64,16
106922.01,16
107198.96,16
107476.51,16
107754.62,16
108033.49,16
108312.88,16
108592.78,16
108873.27,16
109154.38,16
109436.11,16
109718.39,16
110001.23,16
110284.69,16
110568.73,16
110853.36,16
111138.55,16
111424.48,16
111710.93,16
111997.91,16
112285.5,16
112573.69,16
112862.46,16
113151.82,16
113441.76,16
113732.31,16
114023.43,16
114315.15,16
114607.45,16
114901.72,16
115196.59,16
115492.06,16
115788.13,16
116085.36,16
116383.21,16
116681.61,16
116980.61,16
117280.2,16
117580.41,16
117881.24,16
118182.59,16
118484.51,16
118787.05,16
119090.16,16
119393.88,16
119698.22,16
120003.17,16
120308.66,16
120614.72,16
120921.34,16
121228.59,16
121537.05,16
121846.09,16
122155.73,16
122465.94,16
122776.73,16
123088.13,16
123400.13,16
123712.71,16
124025.88,16
124339.63,16
124653.99,16
124968.97,16
125284.54,16
125600.7,16
125917.99,16
126235.87,16
126554.37,16
126873.48,16
127193.15,16
127513.43,16
127834.25,16
128155.71,16
128477.76,16
128800.37,16
129124.19,16
129448.59,16
129773.56,16
130099.11,16
130425.28,16
130752.05,16
131079.41,16
131407.35,16
131735.87,16
132064.98,16
132394.64,16
132724.94,16
133055.86,16
133387.35,16
133719.39,16
134052.02,16
134385.28,16
134719.14,16
135054.17,16
135389.8,16
135726.02,16
136062.79,16
136400.14,16
136738.13,16
137076.71,16
137415.87,16
137755.63,16
138095.97,16
