Time (s),MC In,MC Out,Motor In,Motor Out
67873.9,12,13,12,13
68002.37,12,13,11,13
68131.33,12,13,11,13
68260.79,13,13,12,13
68390.75,12,13,11,13
68521.19,13,13,11,13
68652.12,13,13,11,13
68783.54,13,13,11,13
68915.46,13,13,12,13
69047.87,13,13,11,13
69180.76,13,13,12,13
69314.16,13,13,11,13
69448.06,13,13,12,13
69582.44,12,13,11,13
69717.31,13,13,11,13
69852.77,13,13,11,13
69988.63,12,13,11,13
70124.97,12,13,11,13
70261.81,12,13,11,13
70399.14,12,13,11,13
70536.98,13,13,11,13
70675.29,13,13,11,13
70814.1,13,13,11,13
70953.4,13,13,11,13
71093.19,13,13,11,13
71233.48,13,13,11,13
71374.26,13,13,11,13
71515.53,13,13,11,13
71657.29,13,13,11,13
71799.55,13,13,11,13
71942.29,13,13,11,13
72085.54,13,13,11,13
72229.27,13,13,11,13
72373.49,13,13,12,13
72518.2,13,13,12,13
72663.41,13,13,11,13
72809.11,13,13,11,13
72955.31,13,13,11,13
73101.99,13,13,12,13
73249.16,13,13,12,13
73396.82,13,13,11,13
73544.99,13,13,11,13
73693.65,13,13,11,13
73842.81,13,13,11,13
73992.49,13,13,11,13
74142.62,13,13,11,13
74293.24,13,13,11,13
74444.41,13,13,11,13
74596.01,13,13,11,13
74748.1,13,13,11,13
74900.69,13,12,11,13
75053.77,13,12,11,13
75207.34,13,13,11,13
75361.4,13,12,11,13
75515.96,13,13,11,13
75671.01,13,13,11,13
75826.55,13,13,11,13
75982.59,13,13,12,13
76139.11,13,13,11,13
76296.13,12,13,12,13
76453.64,13,13,12,13
76611.64,13,13,12,13
76770.14,13,13,11,13
76929.13,13,13,12,13
77088.62,13,13,11,13
77248.59,13,13,11,13
77409.05,13,13,11,13
77570.02,13,13,11,13
77731.47,13,13,11,13
77893.41,13,13,11,13
78055.87,13,13,11,13
78218.8,13,13,11,13
78382.23,13,13,11,13
78546.3,13,13,11,13
