Time (s),Amps
96587.35,-21504
96691.62,-16640
96796.87,-16384
96903.11,-19200
97010.45,-16640
97118.74,-16896
97228.04,-18944
97338.33,-16384
97449.62,-19200
97561.91,-19200
97675.21,-16640
97789.48,-19712
97904.77,-16640
98021.05,-16384
98138.31,-17664
98256.6,-18432
98375.91,-15104
98496.24,-18432
98617.54,-18432
98739.81,-14080
98863.14,-17920
98987.51,-17408
99112.85,-15360
99239.24,-16128
99366.68,-18432
99495.16,-19712
99624.63,-16384
99755.13,-19200
99886.62,-15104
100020.09,-16128
100154.59,-16128
100290.08,-16128
100426.54,-15616
100564.03,-16128
100702.55,-16128
100842.05,-16384
100982.52,-16128
101124.01,-16640
101266.56,-16128
101410.04,-16384
101554.51,-16640
101700.02,-16384
101847.5,-16384
101995.99,-16640
102145.49,-16384
102295.99,-17408
102447.48,-16384
102599.97,-16896
102753.51,-17408
102908.02,-16640
103063.52,-17920
103220.07,-16128
103377.61,-15616
103536.13,-16384
103695.65,-16128
103856.2,-16128
104017.74,-16128
104180.29,-16640
104343.79,-16896
104508.35,-16640
104674.65,-16640
104842.17,-16640
105010.69,-16896
105180.22,-16896
105350.74,-16640
105522.27,-17664
105694.78,-16896
105698.2,-16128
105702.46,-16640
105707.7,-16640
105713.93,-17408
105721.21,-17920
105729.5,-16896
105738.75,-18688
105749.04,-17664
105760.37,-17920
105772.61,-17664
105785.86,-16896
105800.15,-17408
105815.46,-17408
105831.76,-17664
105849.04,-16896
105867.34,-16896
105887.62,-17408
105908.9,-17664
105931.23,-17920
105954.55,-17664
105978.82,-18432
106004.08,-17664
106030.43,-17664
106057.76,-17920
106086.05,-17920
106115.38,-18432
106146.7,-18432
106179.02,-16896
106212.35,-18432
106246.7,-16640
106282.04,-17664
106318.35,-19712
106355.69,-17664
106394.09,-18944
106433.39,-17664
106473.73,-17920
106515.11,-17920
106557.46,-17664
106600.8,-17664
106645.15,-17920
106690.5,-17920
106736.88,-17920
106784.19,-17920
106832.52,-18688
106835.81,-17664
106840.06,-18432
106845.29,-17920
106851.52,-17920
106858.76,-17920
106867.02,-17920
106876.24,-18944
106886.46,-18432
106897.74,-17920
106910.0,-17920
106923.25,-16384
106937.53,-17664
106952.87,-18432
106969.16,-17664
106986.44,-17664
107004.77,-17664
107024.1,-17408
107044.4,-17408
107065.69,-17408
107088.02,-17408
107111.34,-17664
107135.65,-17664
107160.93,-17664
107187.29,-17920
107215.57,-17664
107244.87,-18432
107276.2,-17920
107308.51,-18688
107341.8,-17920
107376.11,-16896
107411.5,-17408
107447.79,-17920
107485.12,-17408
107523.53,-18432
107562.85,-17664
107603.16,-17408
107644.47,-17408
107686.82,-17664
107730.18,-17408
107774.53,-17664
107819.86,-17664
107866.23,-17664
107913.58,-17664
107961.92,-17664
108011.26,-17664
108061.63,-17920
108113.0,-17664
108165.34,-17920
108218.64,-17664
108274.98,-17408
108332.36,-16896
108390.73,-17920
108450.13,-18688
108510.54,-17408
108571.89,-17408
108634.26,-17408
108698.62,-17408
108763.98,-17408
108831.36,-17408
108899.72,-17664
108969.07,-16896
109041.38,-16896
109113.82,-17664
109187.2,-17664
109261.61,-17664
109337.0,-17920
109413.39,-17920
109416.68,-17920
109420.96,-17920
109426.29,-17664
109432.57,-18432
109441.85,-18944
109452.21,-18432
109464.56,-17920
109477.86,-16896
109492.2,-16640
109507.55,-17920
109523.89,-17664
109541.19,-17664
109559.54,-17408
109579.89,-17664
109601.23,-17664
109623.59,-17664
109646.97,-17664
109671.36,-17664
109696.71,-17664
109723.05,-17408
109751.38,-18688
109782.72,-18688
109815.08,-18688
109849.45,-18432
109884.79,-17664
109921.19,-17664
109958.55,-17408
109996.93,-18432
110036.26,-17664
110078.6,-17664
110121.98,-17664
110167.36,-16896
110213.73,-17664
110261.11,-17664
110309.5,-17664
110359.86,-17920
110411.28,-17408
110464.7,-17920
110521.1,-17920
110580.47,-18944
110640.88,-17408
110702.26,-17408
110764.65,-18432
110829.03,-17664
110894.45,-17920
110961.85,-17664
111032.3,-17664
111103.72,-17664
111176.15,-17664
111249.58,-17920
111324.03,-17664
111399.44,-18432
111475.89,-17408
111553.33,-18432
111631.77,-17920
111712.18,-17920
111793.61,-18432
111876.06,-18432
111959.53,-17408
112043.96,-17920
112130.41,-17920
112219.85,-17408
112312.27,-17664
112315.57,-17664
112319.86,-17664
112325.17,-18432
112331.47,-17920
112338.83,-18432
112348.14,-17664
112358.49,-17920
112370.77,-18432
112385.1,-17664
112400.44,-17920
112417.75,-17920
112436.1,-17408
112456.47,-17664
112477.79,-17664
112501.14,-17920
112526.47,-17664
112552.82,-17920
112580.2,-18432
112608.55,-17664
112637.96,-18432
112668.32,-18688
112699.65,-17920
112732.03,-17664
112767.38,-16896
112804.75,-17664
112844.09,-17664
112884.46,-17664
112926.81,-17664
112970.19,-17408
113014.57,-17664
113059.98,-17920
113106.36,-17920
113153.75,-17920
113202.14,-17408
113251.53,-17664
113301.95,-18432
113353.37,-18432
113405.77,-18432
113459.13,-17664
113462.42,-17920
113466.71,-18688
113472.04,-18432
113478.33,-18688
113485.67,-19968
113494.96,-18688
113505.33,-18688
113516.66,-18944
113528.95,-18688
113543.29,-18432
113558.64,-18432
113574.99,-18432
113592.29,-18432
113610.69,-18432
113631.04,-18688
113634.34,-18944
113639.67,-18432
113645.96,-18944
113653.3,-18432
113662.59,-19712
113674.94,-18944
113688.23,-19712
113702.57,-18688
113718.92,-18432
113736.25,-18432
113754.61,-18688
113773.96,-18432
113794.31,-17920
113815.64,-18688
113839.03,-18688
113863.37,-18432
113888.73,-18688
113915.08,-18688
113943.43,-18944
113972.77,-18944
114003.18,-20224
114034.54,-18944
114066.91,-18688
114101.27,-18944
114136.64,-18432
114173.0,-19712
114210.37,-18688
114249.71,-18688
114290.11,-18688
114331.47,-18944
114373.86,-18432
114417.24,-17920
114461.65,-18688
114507.05,-18944
114553.43,-18688
114600.83,-18432
114649.21,-18944
114698.65,-18944
114749.0,-18688
114802.41,-18432
114856.8,-18944
114912.19,-18432
114968.61,-19200
115026.98,-18944
115087.41,-17920
115148.82,-18944
115211.21,-18688
115275.61,-18432
115341.0,-18688
115407.41,-18688
115474.8,-18432
115543.2,-17408
115613.66,-18432
115685.09,-18688
115757.5,-18688
115830.93,-18944
115906.34,-18944
115982.77,-19200
116061.2,-16640
116140.65,-16896
116221.05,-17664
116302.5,-16896
116385.93,-16640
116470.36,-16896
116556.82,-15616
116644.28,-16384
116733.71,-18432
116824.17,-16128
116915.64,-15616
117009.07,-15360
117103.52,-18432
117199.0,-14080
117295.48,-14592
117392.91,-14336
117491.38,-16896
117591.85,-16384
117693.3,-16896
117796.81,-16384
117901.27,-16128
118006.75,-14336
118113.21,-14080
118220.72,-15360
118329.21,-16128
118438.67,-13312
118549.17,-12032
118660.66,-15104
118773.12,-13056
118887.61,-15616
119003.12,-11008
119119.6,-13056
119237.07,-14592
119356.55,-13056
119477.04,-11008
119599.53,-13056
119724.01,-10752
119849.48,-10752
119975.98,-12032
120103.47,-12032
120231.96,-12288
120361.44,-12800
120491.97,-14336
120623.5,-9472
120756.02,-14080
120889.52,-11008
121024.05,-13056
121160.56,-13056
121298.11,-13056
121436.64,-11264
121576.16,-9728
121716.7,-12288
121858.22,-11264
122000.77,-12032
122144.31,-9984
122288.82,-9984
122436.35,-11264
122584.91,-11264
122734.44,-11776
122884.98,-11776
123036.52,-12032
123189.04,-11776
123344.56,-11264
123501.1,-11008
123659.68,-11008
123819.23,-10752
123979.79,-11008
124142.38,-10752
124305.92,-11008
124470.49,-11776
124636.1,-11008
124802.71,-11264
124970.28,-11776
125139.83,-12032
125310.41,-11776
125482.96,-11776
125656.53,-12032
125831.1,-12032
126008.66,-11776
126187.25,-11776
126366.83,-11776
126547.37,-12032
126730.94,-11776
126915.53,-11776
127101.09,-11264
127287.7,-11776
127475.27,-11008
